Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2013-01-01T00:00:00.0/2013-01-02T00:00:00.0,2681.2261,1835.2478,1303.2499,531.9980,4903.8896,1186.0414,461.9785,724.0629,1559.6497,0.9986
2013-01-02T00:00:00.0/2013-01-03T00:00:00.0,2697.6538,1790.3530,1202.0980,588.2549,4479.5024,1164.3053,389.8723,774.4330,1343.5632,0.9986
2013-01-03T00:00:00.0/2013-01-04T00:00:00.0,2715.4744,1845.4237,1307.5442,537.8795,4861.3145,579.3500,20.7487,559.7780,71.7412,0.9986
2013-01-04T00:00:00.0/2013-01-05T00:00:00.0,2734.6843,1788.8293,1141.8876,646.9418,4125.9199,725.0883,122.5213,605.9733,409.9167,0.9986
2013-01-05T00:00:00.0/2013-01-06T00:00:00.0,2755.2793,1767.3387,1102.5607,664.7780,3989.1924,548.2289,20.3306,528.9662,67.9355,0.9569
2013-01-06T00:00:00.0/2013-01-07T00:00:00.0,2777.2905,1942.2695,1530.1042,412.1653,5729.5386,918.2332,161.4896,756.7437,562.7089,0.9979
2013-01-07T00:00:00.0/2013-01-08T00:00:00.0,2800.6523,1997.0649,1593.2297,403.8351,5984.1870,1067.0104,311.3724,755.6379,1237.3127,0.9979
2013-01-08T00:00:00.0/2013-01-09T00:00:00.0,2825.3821,2009.0239,1586.3739,422.6499,5919.8579,1395.5166,686.4795,709.0372,2288.0134,0.9972
2013-01-09T00:00:00.0/2013-01-10T00:00:00.0,2851.5027,1884.2260,1277.7542,606.4717,4628.3252,1030.2156,256.4248,773.9153,839.2532,0.9958
2013-01-10T00:00:00.0/2013-01-11T00:00:00.0,2879.0015,1787.3563,969.5165,817.8398,3399.9810,555.4460,17.9178,541.0991,62.0929,0.9944
2013-01-11T00:00:00.0/2013-01-12T00:00:00.0,2907.8171,1921.9241,1317.2136,604.7104,4647.7466,752.4804,66.2379,689.2155,227.9275,0.9972
2013-01-12T00:00:00.0/2013-01-13T00:00:00.0,2938.0149,2053.2644,1566.1522,487.1122,5619.3130,1424.8262,706.9554,717.8708,2346.4800,0.9924
2013-01-13T00:00:00.0/2013-01-14T00:00:00.0,2969.5085,2015.0112,1461.3962,553.6151,5128.7446,1452.5231,678.5269,773.9962,2221.2812,0.9965
2013-01-14T00:00:00.0/2013-01-15T00:00:00.0,3002.4143,1951.0447,1253.5215,697.5232,4347.0356,1229.2426,393.6613,836.7676,1270.4675,0.9958
2013-01-15T00:00:00.0/2013-01-16T00:00:00.0,3036.5974,1879.6602,1040.8989,838.7612,3480.9648,805.4060,90.0559,722.5231,274.3107,0.9951
2013-01-16T00:00:00.0/2013-01-17T00:00:00.0,3072.0925,1851.5540,948.4360,903.1180,3136.9866,828.2976,126.6195,706.1027,377.7673,0.9951
2013-01-17T00:00:00.0/2013-01-18T00:00:00.0,3108.9023,2072.4868,1474.4025,598.0842,5020.2466,1048.3644,175.5595,872.8049,576.5685,0.9944
2013-01-18T00:00:00.0/2013-01-19T00:00:00.0,3146.9895,1881.3749,847.9382,1033.4366,2725.3030,677.4094,33.5439,644.6277,124.8298,1.0000
