Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2013-01-01T00:00:00.0/2013-01-02T00:00:00.0,3093.8655,2096.8806,1481.9940,614.8866,5034.2109,1837.8005,1177.0570,660.7437,3551.9272,0.9917
2013-01-02T00:00:00.0/2013-01-03T00:00:00.0,3110.4937,2088.3079,1471.2677,617.0402,4981.5337,1818.3667,1145.9290,672.4377,3434.5503,0.9917
2013-01-03T00:00:00.0/2013-01-04T00:00:00.0,3128.5200,2133.2620,1547.0885,586.1735,5196.5811,1892.0294,1256.7444,635.2851,3764.6038,0.9917
2013-01-04T00:00:00.0/2013-01-05T00:00:00.0,3147.9404,2112.3225,1428.9838,683.3388,4705.3276,1293.6450,626.3854,670.0714,1796.0289,0.9882
2013-01-05T00:00:00.0/2013-01-06T00:00:00.0,3168.7493,2008.1776,1152.8708,855.3067,3762.4719,1006.6363,164.2147,842.4427,528.9741,0.9458
2013-01-06T00:00:00.0/2013-01-07T00:00:00.0,3190.9734,2231.9055,1752.6976,479.2080,5925.7876,1468.8246,696.0015,772.8231,2241.0989,1.0000
2013-01-07T00:00:00.0/2013-01-08T00:00:00.0,3214.5515,2279.8347,1806.5460,473.2888,6082.4272,1717.1855,916.1584,801.0270,2742.2595,1.0000
2013-01-08T00:00:00.0/2013-01-09T00:00:00.0,3239.4988,2323.2524,1855.3558,467.8965,6277.7896,1936.4187,1145.7269,790.6919,3500.3350,1.0000
2013-01-09T00:00:00.0/2013-01-10T00:00:00.0,3265.8054,2228.5398,1599.1782,629.3616,5254.9785,1514.7863,745.1973,770.2379,2127.1052,1.0000
2013-01-10T00:00:00.0/2013-01-11T00:00:00.0,3293.5349,2196.1118,1437.1195,758.9923,4588.8359,993.5718,169.5134,836.6365,469.3469,1.0000
2013-01-11T00:00:00.0/2013-01-12T00:00:00.0,3322.5601,1940.8978,807.9165,1132.9813,2500.6223,650.6868,37.6938,617.1174,121.2265,1.0000
2013-01-12T00:00:00.0/2013-01-13T00:00:00.0,3352.9133,2296.1499,1645.4928,650.6571,5272.8179,1630.1006,854.5463,784.1741,2362.8137,1.0000
2013-01-13T00:00:00.0/2013-01-14T00:00:00.0,3384.6277,2398.5791,1845.6631,552.9161,5979.3340,1358.2382,446.9405,911.2977,1323.2229,1.0000
2013-01-14T00:00:00.0/2013-01-15T00:00:00.0,3417.6243,2267.7495,1509.7461,758.0035,4704.5889,978.0485,151.2016,826.8469,530.0851,0.9993
2013-01-15T00:00:00.0/2013-01-16T00:00:00.0,3451.9978,2178.6870,1220.1888,958.4982,3689.9800,576.6635,22.9657,576.9437,63.8467,0.9979
2013-01-16T00:00:00.0/2013-01-17T00:00:00.0,3487.6013,2254.5286,1424.2679,830.2606,4330.8037,980.9108,82.6122,898.3154,292.5927,0.9861
2013-01-17T00:00:00.0/2013-01-18T00:00:00.0,3524.5186,2405.5667,1750.2034,655.3634,5370.7686,1406.4430,442.4979,963.9451,1318.2889,0.9951
2013-01-18T00:00:00.0/2013-01-19T00:00:00.0,3562.7246,2075.3921,837.4353,1237.9568,2411.6948,563.9124,24.6738,559.3980,62.7111,0.9931
2013-01-19T00:00:00.0/2013-01-20T00:00:00.0,3602.1426,2342.5110,1438.6124,903.8986,4330.8506,1067.7632,242.1059,826.9144,719.8962,0.9979
2013-01-20T00:00:00.0/2013-01-21T00:00:00.0,3642.8264,2417.5251,1706.6714,710.8536,5126.9038,1120.7712,153.1523,967.6190,462.4377,0.9972
2013-01-21T00:00:00.0/2013-01-22T00:00:00.0,3684.7583,2411.6287,1603.3126,808.3160,4743.1689,794.8153,70.8336,724.9340,258.7763,0.9965
2013-01-22T00:00:00.0/2013-01-23T00:00:00.0,3727.8892,2570.8298,1975.3253,595.5045,5885.2388,2153.5391,1370.4746,783.1424,3739.9929,0.9958
2013-01-23T00:00:00.0/2013-01-24T00:00:00.0,3772.1765,2587.8083,1801.7153,786.0930,5326.0493,1980.5029,1069.2396,911.2634,3000.2278,0.9958
2013-01-24T00:00:00.0/2013-01-25T00:00:00.0,3817.7063,2517.4468,1499.4387,1018.0081,4310.3252,1655.1815,613.1006,1042.3317,1644.5026,0.9951
2013-01-25T00:00:00.0/2013-01-26T00:00:00.0,3864.3784,2580.0728,1647.0698,933.0030,4643.3755,752.1834,37.9622,715.0062,101.5948,0.9937
2013-01-26T00:00:00.0/2013-01-27T00:00:00.0,3912.1897,2474.7161,1266.7805,1207.9355,3470.7693,880.6141,55.8338,831.4310,157.2613,0.9986
2013-01-27T00:00:00.0/2013-01-28T00:00:00.0,3961.1692,2670.6062,1732.5674,938.0388,4876.1626,893.9397,53.9505,840.1187,142.8052,0.9972
2013-01-28T00:00:00.0/2013-01-29T00:00:00.0,4011.2329,2716.9998,1774.1995,942.8004,4970.8799,1017.4792,53.2855,964.1937,146.7985,0.9965
2013-01-29T00:00:00.0/2013-01-30T00:00:00.0,4062.4160,2690.3635,1600.7172,1089.6464,4416.6216,1058.5450,79.9038,979.2189,258.3404,0.9951
2013-01-30T00:00:00.0/2013-01-31T00:00:00.0,4114.6606,2831.1357,1921.2570,909.8787,5300.4199,1454.2238,333.7361,1120.6367,836.1579,0.9944
2013-01-31T00:00:00.0/2013-02-01T00:00:00.0,4167.9531,2817.1003,1793.2034,1023.8970,4965.3110,1437.5543,541.7603,898.7260,1580.0897,0.9937
2013-02-01T00:00:00.0/2013-02-02T00:00:00.0,4222.3223,2993.5137,2159.3152,834.1983,5874.3848,2665.5349,1616.5065,1049.0284,4391.6426,0.8368
2013-02-02T00:00:00.0/2013-02-03T00:00:00.0,4277.7153,2898.0605,1881.4321,1016.6284,5020.8589,1113.4825,110.1218,1006.8535,334.9057,0.9986
2013-02-03T00:00:00.0/2013-02-04T00:00:00.0,4334.1060,2718.6833,1368.6957,1349.9878,3534.4644,1075.2761,240.0026,836.5333,674.0419,0.9979
2013-02-04T00:00:00.0/2013-02-05T00:00:00.0,4391.4517,3122.0474,2341.1113,780.9359,6322.2505,1667.5096,443.4712,1224.0385,1141.9065,0.9972
2013-02-05T00:00:00.0/2013-02-06T00:00:00.0,4449.7393,3266.4744,2704.2009,562.2736,7415.0889,2986.2715,2137.8892,848.3824,5260.8384,0.9958
2013-02-06T00:00:00.0/2013-02-07T00:00:00.0,4508.9990,3212.6426,2419.3921,793.2505,6370.9087,1533.9763,300.0519,1240.3088,773.5479,0.9937
2013-02-07T00:00:00.0/2013-02-08T00:00:00.0,4569.1782,2958.8560,1604.1017,1354.7544,4030.0916,1036.3748,76.6351,959.7663,221.1100,0.9917
2013-02-08T00:00:00.0/2013-02-09T00:00:00.0,4630.2368,2842.6165,1224.9810,1617.6355,2975.8325,886.2827,67.6929,822.2830,190.2179,0.9958
2013-02-09T00:00:00.0/2013-02-10T00:00:00.0,4692.1230,3275.8030,2253.3826,1022.4202,5615.7764,1632.7562,410.7068,1223.0791,998.1133,0.9958
2013-02-10T00:00:00.0/2013-02-11T00:00:00.0,4754.8828,3219.2549,1994.3158,1224.9391,4903.5620,810.1390,50.1916,774.2001,133.3306,0.9944
