Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2013-01-01T00:00:00.0/2013-01-02T00:00:00.0,2533.7222,1676.1636,1054.3047,621.8589,4059.2939,1400.6533,852.7266,553.4248,2984.9292,0.9937
2013-01-02T00:00:00.0/2013-01-03T00:00:00.0,2550.0366,1745.6285,1229.4182,516.2103,4813.1758,1618.9802,1127.6373,491.3429,4334.6416,0.9937
2013-01-03T00:00:00.0/2013-01-04T00:00:00.0,2567.7373,1769.7866,1297.5437,472.2430,5039.0068,1533.4368,954.1429,579.2938,3436.6746,0.9937
2013-01-04T00:00:00.0/2013-01-05T00:00:00.0,2586.8496,1631.7552,854.2382,777.5172,3211.8142,578.0483,75.6190,510.4496,232.0865,0.9937
2013-01-05T00:00:00.0/2013-01-06T00:00:00.0,2607.3474,1679.7834,1012.6402,667.1432,3792.6990,561.6737,18.8452,543.2205,65.6002,0.9514
2013-01-06T00:00:00.0/2013-01-07T00:00:00.0,2629.2051,1838.3208,1425.5204,412.8004,5537.9258,581.1401,67.1668,520.8896,269.0168,0.9931
2013-01-07T00:00:00.0/2013-01-08T00:00:00.0,2652.4348,1845.9819,1369.0839,476.8981,5268.7646,530.5341,17.5378,525.9786,59.2072,0.9924
2013-01-08T00:00:00.0/2013-01-09T00:00:00.0,2677.0291,1843.6764,1350.5573,493.1191,5183.0654,487.1065,13.1319,488.7989,41.8556,0.9917
2013-01-09T00:00:00.0/2013-01-10T00:00:00.0,2703.0222,1908.8997,1435.1531,473.7466,5496.9531,950.6617,381.5529,570.4052,1139.3081,0.9903
2013-01-10T00:00:00.0/2013-01-11T00:00:00.0,2730.3772,1779.8691,1102.2787,677.5904,4084.2139,565.8546,19.9881,556.9672,74.8395,0.9965
2013-01-11T00:00:00.0/2013-01-12T00:00:00.0,2759.0908,1872.7139,1346.0111,526.7027,5009.5728,1203.4647,560.1465,646.4045,1875.5750,0.9958
2013-01-12T00:00:00.0/2013-01-13T00:00:00.0,2789.1248,1949.0059,1473.4255,475.5804,5510.2598,1554.8824,894.3043,660.6245,2933.1294,0.9951
2013-01-13T00:00:00.0/2013-01-14T00:00:00.0,2820.5503,1881.5701,1294.4874,587.0827,4727.7632,1466.7474,805.2327,662.6249,2635.2292,1.0000
2013-01-14T00:00:00.0/2013-01-15T00:00:00.0,2853.2629,1866.6515,1235.9772,630.6744,4464.0190,625.7971,56.1341,570.1180,193.8980,1.0000
2013-01-15T00:00:00.0/2013-01-16T00:00:00.0,2887.3284,1805.5894,1014.0315,791.5578,3552.6184,644.9764,79.2890,571.7399,257.2835,1.0000
2013-01-16T00:00:00.0/2013-01-17T00:00:00.0,2922.7341,1791.8923,958.8790,833.0132,3315.7920,667.5019,83.2114,596.4643,429.8156,1.0000
2013-01-17T00:00:00.0/2013-01-18T00:00:00.0,2959.3916,1982.7908,1430.2253,552.5655,5054.4150,1220.2417,500.7328,720.2399,1522.2349,1.0000
2013-01-18T00:00:00.0/2013-01-19T00:00:00.0,2997.4041,1867.3346,981.2550,886.0797,3321.8896,571.5241,27.3662,553.6464,106.8779,0.9986
2013-01-19T00:00:00.0/2013-01-20T00:00:00.0,3036.6841,1908.3217,1027.1973,881.1245,3454.6023,663.8420,62.0060,605.7845,227.1984,0.9972
2013-01-20T00:00:00.0/2013-01-21T00:00:00.0,3077.2258,2029.8951,1330.5996,699.2955,4538.9209,1523.6328,760.6648,765.6610,2239.3579,0.9958
2013-01-21T00:00:00.0/2013-01-22T00:00:00.0,3119.0732,1960.5276,1226.8938,733.6337,4086.9521,651.1682,25.3573,629.3714,82.0227,0.9937
2013-01-22T00:00:00.0/2013-01-23T00:00:00.0,3162.1389,1888.8391,924.0734,964.7657,2943.3694,705.2771,68.0189,637.9216,219.7282,0.9924
